Strain Name,plate384,Well384,Gene name,gene discription,Accession Number,Row384,Column384
NE1086,3,F12,hemL,glutamate-1-semialdehyde aminotransferase,SAUSA300_1845,F,12
NE1087,3,F14,-,CamS sex pheromone cAM373,SAUSA300_1884,F,14
NE1088,3,F16,,conserved hypothetical protein,SAUSA300_2167,F,16
NE1089,3,F18,-,response regulator protein,SAUSA300_2308,F,18
NE1090,3,F20,bioA,adenosylmethionine-8-amino-7-oxononanoate transaminase,SAUSA300_2372,F,20
NE1091,3,F22,-,hypothetical protein,SAUSA300_2402,F,22
NE1092,3,F24,-,putative acyl-CoA acetyltransferase FadA,SAUSA300_0225,F,24
NE1093,3,H2,-,hypothetical protein,SAUSA300_0586,H,2
NE1094,3,H4,-,phiSLT ORF 99-like protein,SAUSA300_1385,H,4
NE1095,3,H6,aldA2,aldehyde dehydrogenase,SAUSA300_1901,H,6
NE1096,3,H8,,"conserved hypothetical protein""",SAUSA300_2404,H,8
NE1097,3,H10,-,manganese transport protein MntH,SAUSA300_1005,H,10
NE1098,3,H12,splC,serine protease SplC,SAUSA300_1756,H,12
NE1099,3,H14,-,hypothetical protein,SAUSA300_2282,H,14
NE1100,3,H16,gltD,glutamate synthase subunit beta,SAUSA300_0446,H,16
NE1101,3,H18,purM,phosphoribosylaminoimidazole synthetase,SAUSA300_0973,H,18
NE1102,3,H20,-,iron transport associated domain-containing protein,SAUSA300_1028,H,20
NE1103,3,H22,leuA,2-isopropylmalate synthase,SAUSA300_2010,H,22
NE1104,3,H24,-,haloacid dehalogenase-like hydrolase,SAUSA300_2102,H,24
NE1105,3,J2,-,ABC transporter protein,SAUSA300_2556,J,2
NE1106,3,J4,-,hypothetical protein,SAUSA300_0420,J,4
NE1107,3,J6,cinA,competence/damage-inducible protein cinA,SAUSA300_1177,J,6
NE1108,3,J8,-,hypothetical protein,SAUSA300_1223,J,8
NE1109,3,J10,rpoF,RNA polymerase sigma factor SigB,SAUSA300_2022,J,10
NE1110,3,J12,-,hypothetical protein,SAUSA300_2315,J,12
NE1111,3,J14,-,hypothetical protein,SAUSA300_0031,J,14
NE1112,3,J16,-,hypothetical protein,SAUSA300_0276,J,16
NE1113,3,J18,ureG,urease accessory protein UreG,SAUSA300_2243,J,18
NE1114,3,J20,-,perfringolysin O regulator protein,SAUSA300_2471,J,20
NE1115,3,J22,-,transporter protein,SAUSA300_2434,J,22
NE1116,3,J24,nsaS,nisin susceptibility-associated sensor histidine kinase,SAUSA300_2558,J,24
NE1117,3,L2,-,hypothetical protein,SAUSA300_0518,L,2
NE1118,3,L4,dapD,tetrahydrodipicolinate acetyltransferase,SAUSA300_1290,L,4
NE1119,3,L6,-,hypothetical protein,SAUSA300_1322,L,6
NE1120,3,L8,-,phiSLT ORF129-like protein,SAUSA300_1387,L,8
NE1121,3,L10,,conserved hypothetical protein,SAUSA300_1247,L,10
NE1122,3,L12,est,carboxylesterase,SAUSA300_0763,L,12
NE1123,3,L14,,"phiSLT ORF257-like protein, putative prophage protease",SAUSA300_1402,L,14
NE1124,3,L16,gntK,gluconate kinase,SAUSA300_2443,L,16
NE1125,3,L18,arcD,arginine/oirnithine antiporter,SAUSA300_0064,L,18
NE1126,3,L20,-,hypothetical protein,SAUSA300_0266,L,20
NE1127,3,L22,-,tandem lipoprotein,SAUSA300_0414,L,22
NE1128,3,L24,hslO,Hsp33-like chaperonin,SAUSA300_0490,L,24
NE1129,3,N2,-,hypothetical protein,SAUSA300_0724,N,2
NE1130,3,N4,-,hypothetical protein,SAUSA300_1561,N,4
NE1131,3,N6,-,amino acid permease,SAUSA300_2395,N,6
NE1132,3,N8,tetR,intercellular adhesion operon transcription regulator,SAUSA300_2599,N,8
NE1133,3,N10,-,putative ferrichrome ABC transporter,SAUSA300_0941,N,10
NE1134,3,N12,purS,phosphoribosylformylglycinamidine synthase,SAUSA300_0969,N,12
NE1135,3,N14,opuD,glycine betaine transporter opuD,SAUSA300_1245,N,14
NE1136,3,N16,ald,alanine dehydrogenase,SAUSA300_1331,N,16
NE1137,3,N18,-,glycine betaine transporter,SAUSA300_2145,N,18
NE1138,3,N20,-,NAD dependent epimerase/dehydratase family protein,SAUSA300_2387,N,20
NE1139,3,N22,-,putative monovalent cation/H+ antiporter subunit D,SAUSA300_0613,N,22
NE1140,3,N24,lysA,diaminopimelate decarboxylase,SAUSA300_1293,N,24
NE1141,3,P2,-,putative serine protease HtrA,SAUSA300_1674,P,2
NE1142,3,P4,-,RpiR family phosphosugar-binding transcriptional regulator,SAUSA300_2264,P,4
NE1143,3,P6,-,hypothetical protein,SAUSA300_0831,P,6
NE1144,3,P8,asd,aspartate semialdehyde dehydrogenase,SAUSA300_1287,P,8
NE1145,3,P10,-,hypothetical protein,SAUSA300_1536,P,10
NE1146,3,P12,-,hypothetical protein,SAUSA300_2131,P,12
NE1147,3,P14,-,"alcohol dehydrogenase, zinc-containing",SAUSA300_2146,P,14
NE1148,3,P16,cbiO,cobalt transporter ATP-binding subunit,SAUSA300_2176,P,16
NE1149,3,P18,ipdC,indole-3-pyruvate decarboxylase,SAUSA300_0190,P,18
NE1150,3,P20,-,hypothetical protein,SAUSA300_0866,P,20
NE1151,3,P22,-,dehydrogenase family protein,SAUSA300_2251,P,22
NE1152,3,P24,narH,"respiratory nitrate reductase, beta subunit",SAUSA300_2342,P,24
NE1153,4,A1,-,hypothetical protein,SAUSA300_2614,A,1
NE1154,4,A3,uhpT,sugar phosphate antiporter,SAUSA300_0216,A,3
NE1155,4,A5,-,hypothetical protein,SAUSA300_0336,A,5
NE1156,4,A7,hsdM,"type I restriction-modification system, M subunit",SAUSA300_0405,A,7
NE1157,4,A9,,sensor histidine kinase,SAUSA300_2338,A,9
NE1158,4,A11,rex,redox-sensing transcriptional repressor Rex,SAUSA300_1999,A,11
NE1159,4,A13,potA,spermidine/putrescine ABC transporter ATP-binding protein,SAUSA300_0999,A,13
NE1160,4,A15,-,tandem lipoprotein,SAUSA300_0417,A,15
NE1161,4,A17,-,integral membrane protein,SAUSA300_0714,A,17
NE1162,4,A19,-,hypothetical protein,SAUSA300_1506,A,19
NE1163,4,A21,-,pyridine nucleotide-disulfide oxidoreductase,SAUSA300_2319,A,21
NE1164,4,A23,-,hypothetical protein,SAUSA300_2637,A,23
NE1165,4,C1,-,hypothetical protein,SAUSA300_0553,C,1
NE1166,4,C3,ilvB,acetolactate synthase large subunit,SAUSA300_2007,C,3
NE1167,4,C5,icaB,intercellular adhesion protein B,SAUSA300_2601,C,5
NE1168,4,C7,-,ABC transporter ATP-binding protein,SAUSA300_0271,C,7
NE1169,4,C9,pepF,oligoendopeptidase F,SAUSA300_0902,C,9
NE1170,4,C11,-,putative translaldolase,SAUSA300_1725,C,11
NE1171,4,C13,-,hypothetical protein,SAUSA300_0632,C,13
NE1172,4,C15,-,iron/heme permease,SAUSA300_1033,C,15
NE1173,4,C17,-,hypothetical protein,SAUSA300_1792,C,17
NE1174,4,C19,opp-1A,"oligopeptide permease, peptide-binding protein",SAUSA300_2411,C,19
NE1175,4,C21,-,hypothetical protein,SAUSA300_2423,C,21
NE1176,4,C23,radA,DNA repair protein RadA,SAUSA300_0511,C,23
NE1177,4,E1,ilvC,ketol-acid reductoisomerase,SAUSA300_2009,E,1
NE1178,4,E3,manA,mannose-6-phosphate isomerase,SAUSA300_2577,E,3
NE1179,4,E5,msrA,methionine sulfoxide reductase A,SAUSA300_2594,E,5
NE1180,4,E7,-,hypothetical protein,SAUSA300_0753,E,7
NE1181,4,E9,-,putative staphylocoagulase,SAUSA300_0773,E,9
NE1182,4,E11,-,hypothetical protein,SAUSA300_1284,E,11
NE1183,4,E13,arlS,sensor histidine kinase protein,SAUSA300_1307,E,13
NE1184,4,E15,-,putative drug transporter,SAUSA300_1328,E,15
NE1185,4,E17,-,MerR family transcriptional regulator,SAUSA300_2336,E,17
NE1186,4,E19,-,putative cobalt ABC transporter ATP-binding protein,SAUSA300_2617,E,19
NE1187,4,E21,-,hypothetical protein,SAUSA300_0321,E,21
NE1188,4,E23,,putative membrane protein,SAUSA300_1912,E,23
NE1189,4,G1,-,MarR family transcriptional regulator,SAUSA300_2216,G,1
NE1190,4,G3,-,putative N-acetylmuramoyl-L-alanine amidase,SAUSA300_2256,G,3
NE1191,4,G5,-,heat shock protein,SAUSA300_2332,G,5
NE1192,4,G7,-,PfkB family carbohydrate kinase,SAUSA300_0311,G,7
NE1193,4,G9,sarA,accessory regulator A,SAUSA300_0605,G,9
NE1194,4,G11,-,superantigen-like protein,SAUSA300_1061,G,11
NE1195,4,G13,-,phiSLT ORF110-like protein,SAUSA300_1399,G,13
NE1196,4,G15,betB,glycine betaine aldehyde dehydrogenase,SAUSA300_2546,G,15
NE1197,4,G17,-,cobalt transport family protein,SAUSA300_2616,G,17
NE1198,4,G19,-,pyridoxal-phosphate dependent enzyme superfamily protein,SAUSA300_0118,G,19
NE1199,4,G21,-,Oye family NADH-dependent flavin oxidoreductase,SAUSA300_0322,G,21
NE1200,4,G23,-,"tional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase p",SAUSA300_0358,G,23
NE1201,4,I1,-,hypothetical protein,SAUSA300_2547,I,1
NE1202,4,I3,-,hypothetical protein,SAUSA300_1850,I,3
NE1203,4,I5,-,hypothetical protein,SAUSA300_1495,I,5
NE1204,4,I7,-,antibiotic transport-associated protein-like protein,SAUSA300_2489,I,7
NE1205,4,I9,nrdG,"anaerobic ribonucleotide reductase, small subunit",SAUSA300_2550,I,9
NE1206,4,I11,-,hypothetical protein,SAUSA300_2056,I,11
NE1207,4,I13,splB,serine protease SplB,SAUSA300_1757,I,13
NE1208,4,I15,-,hypothetical protein,SAUSA300_1650,I,15
NE1209,4,I17,,"oligopeptide ABC transporter, permease protein",SAUSA300_2410,I,17
NE1210,4,I19,-,hypothetical protein,SAUSA300_1534,I,19
NE1211,4,I21,-,tandem lipoprotein,SAUSA300_0411,I,21
NE1212,4,I23,uvrC,excinuclease ABC subunit C,SAUSA300_1045,I,23
NE1213,4,K1,-,putative lipoprotein,SAUSA300_2355,K,1
NE1214,4,K3,-,Na+/H+ antiporter family protein,SAUSA300_2273,K,3
NE1215,4,K5,trpF,N-(5'-phosphoribosyl)anthranilate isomerase,SAUSA300_1266,K,5
NE1216,4,K7,-,TetR family transcriptional regulator,SAUSA300_2530,K,7
NE1217,4,K9,budA,alpha-acetolactate decarboxylase,SAUSA300_2165,K,9
NE1218,4,K11,-,TENA/THI-4 family protein,SAUSA300_2050,K,11
NE1219,4,K13,-,putative ATP-dependent Clp proteinase,SAUSA300_2486,K,13
NE1220,4,K15,-,hypothetical protein,SAUSA300_2168,K,15
NE1221,4,K17,-,chaperone protein HchA,SAUSA300_0536,K,17
NE1222,4,K19,-,succinyl-diaminopimelate desuccinylase,SAUSA300_1976,K,19
NE1223,4,K21,-,hypothetical protein,SAUSA300_2513,K,21
NE1224,4,K23,-,Fe/Mn family superoxide dismutase,SAUSA300_0135,K,23
NE1225,4,M1,-,hypothetical protein,SAUSA300_0421,M,1
NE1226,4,M3,-,hypothetical protein,SAUSA300_0373,M,3
NE1227,4,M5,vraB,acetyl-CoA c-acetyltransferase,SAUSA300_0560,M,5
NE1228,4,M7,-,hypothetical protein,SAUSA300_0811,M,7
NE1229,4,M9,-,ABC transporter permease,SAUSA300_1515,M,9
NE1230,4,M11,-,hypothetical protein,SAUSA300_0048,M,11
NE1231,4,M13,-,hypothetical protein,SAUSA300_0430,M,13
NE1232,4,M15,hisF,imidazole glycerol phosphate synthase subunit HisF,SAUSA300_2606,M,15
NE1233,4,M17,argR,arginine repressor,SAUSA300_0066,M,17
NE1234,4,M19,lctP,L-lactate permease,SAUSA300_0112,M,19
NE1235,4,M21,cap5E,capsular polysaccharide biosynthesis protein Cap5E,SAUSA300_0156,M,21
NE1236,4,M23,-,glyoxalase family protein,SAUSA300_0338,M,23
NE1237,4,O1,purR,pur operon repressor,SAUSA300_0473,O,1
NE1238,4,O3,,conserved hypothetical protein,SAUSA300_0214,O,3
NE1239,4,O5,-,hypothetical protein,SAUSA300_1040,O,5
NE1240,4,O7,lukD,leukotoxin LukD,SAUSA300_1768,O,7
NE1241,4,O9,nuc,thermonuclease,SAUSA300_1222,O,9
NE1242,4,O11,-,phiSLT ORF527-like protein,SAUSA300_1391,O,11
NE1243,4,O13,-,phiSLT ORF123-like protein,SAUSA300_1398,O,13
NE1244,4,O15,rluB,ribosomal large subunit pseudouridine synthase B,SAUSA300_1443,O,15
NE1245,4,O17,-,hypothetical protein,SAUSA300_1484,O,17
NE1246,4,O19,-,hypothetical protein,SAUSA300_1722,O,19
NE1247,4,O21,-,hypothetical protein,SAUSA300_1796,O,21
NE1248,4,O23,-,phi77 ORF017-like protein,SAUSA300_1971,O,23
NE1249,4,B1,kdpE,"DNA-binding response regulator, KdpE",SAUSA300_2036,B,1
NE1250,4,B3,-,aldehyde dehydrogenase family protein,SAUSA300_2076,B,3
NE1251,4,B5,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,SAUSA300_2534,B,5
NE1252,4,B7,phnC,phosphonate ABC transporter ATP-binding protein,SAUSA300_0144,B,7
NE1253,4,B9,murQ,N-acetylmuramic acid-6-phosphate etherase,SAUSA300_0193,B,9
NE1254,4,B11,pfoR,perfringolysin O regulator protein,SAUSA300_0310,B,11
NE1255,4,B13,sek,enterotoxin K,SAUSA300_0800,B,13
NE1256,4,B15,-,hypothetical protein,SAUSA300_0882,B,15
NE1257,4,B17,-,lipoate-protein ligase A family protein,SAUSA300_0930,B,17
NE1258,4,B19,-,putative restriction/modification system specificity protein,SAUSA300_0406,B,19
NE1259,4,B21,-,hypothetical protein,SAUSA300_1489,B,21
NE1260,4,B23,pckA,phosphoenolpyruvate carboxykinase,SAUSA300_1731,B,23
NE1261,4,D1,-,truncated beta-hemolysin,SAUSA300_1973,D,1
NE1262,4,D3,-,hypothetical protein,SAUSA300_1984,D,3
NE1263,4,D5,mtlD,mannitol-1-phosphate 5-dehydrogenase,SAUSA300_2108,D,5
NE1264,4,D7,-,glutamyl-aminopeptidase,SAUSA300_2400,D,7
NE1265,4,D9,-,glyoxalase family protein,SAUSA300_2461,D,9
NE1266,4,D11,hisD,histidinol dehydrogenase,SAUSA300_2611,D,11
NE1267,4,D13,-,hypothetical protein,SAUSA300_0391,D,13
NE1268,4,D15,-,hypothetical protein,SAUSA300_0666,D,15
NE1269,4,D17,-,OsmC/Ohr family protein,SAUSA300_0786,D,17
NE1270,4,D19,-,hypothetical protein,SAUSA300_0913,D,19
NE1271,4,D21,-,hypothetical protein,SAUSA300_0942,D,21
NE1272,4,D23,-,hypothetical protein,SAUSA300_1207,D,23
NE1273,4,F1,-,prephenate dehydrogenase,SAUSA300_1260,F,1
NE1274,4,F3,pstA,phosphate ABC transporter permease PstA,SAUSA300_1281,F,3
NE1275,4,F5,-,hypothetical protein,SAUSA300_1304,F,5
NE1276,4,F7,-,bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase,SAUSA300_1683,F,7
NE1277,4,F9,-,hypothetical protein,SAUSA300_1759,F,9
NE1278,4,F11,-,staphopain A,SAUSA300_1890,F,11
NE1279,4,F13,nirD,"nitrite reductase [NAD(P)H], small subunit",SAUSA300_2345,F,13
NE1280,4,F15,,"ABC transporter, substrate-binding protein",SAUSA300_0231,F,15
NE1281,4,F17,-,hypothetical protein,SAUSA300_0725,F,17
NE1282,4,F19,-,"PTS system, IIA component",SAUSA300_0332,F,19
NE1283,4,F21,,putative transposase,SAUSA300_0028,F,21
NE1284,4,F23,-,hypothetical protein,SAUSA300_1378,F,23
NE1285,4,H1,-,hypothetical protein,SAUSA300_0775,H,1
NE1286,4,H3,,capsular polysaccharide biosynthesis protein   Cap1A,SAUSA300_2598,H,3
NE1287,4,H5,,cardiolipin synthetase,SAUSA300_1216,H,5
NE1288,4,H7,,hypothetical protein,SAUSA300_0426,H,7
NE1289,4,H9,sdrD,sdrD protein,SAUSA300_0547,H,9
NE1290,4,H11,,"phosphotransferase system, fructose-specific IIABC component",SAUSA300_2576,H,11
NE1291,4,H13,,putative endodeoxyribonuclease RusA,SAUSA300_1955,H,13
NE1292,4,H15,,"putative Na+/H+ antiporter, MnhE component",SAUSA300_0614,H,15
NE1293,4,H17,-,hypothetical protein,SAUSA300_1583,H,17
NE1294,4,H19,,hypothetical protein,SAUSA300_1199,H,19
NE1295,4,H21,rrlA,23S ribosomal RNA,SAUSA300_0456,H,21
NE1296,4,H23,saeS,sensor histidine kinase SaeS,SAUSA300_0690,H,23
NE1297,4,J1,-,carbon-nitrogen family hydrolase,SAUSA300_1987,J,1
NE1298,4,J3,-,hypothetical protein,SAUSA300_1964,J,3
NE1299,4,J5,-,hypothetical protein,SAUSA300_0905,J,5
NE1300,4,J7,-,Aerolysin/leukocidin family protein,SAUSA300_1975,J,7
NE1301,4,J9,pyrB,aspartate carbamoyltransferase catalytic subunit,SAUSA300_1093,J,9
NE1302,4,J11,-,hypothetical protein,SAUSA300_0083,J,11
NE1303,4,J13,-,truncated amidase,SAUSA300_1921,J,13
NE1304,4,J15,-,transcription regulatory protein,SAUSA300_2326,J,15
NE1305,4,J17,dat,D-alanine aminotransferase,SAUSA300_1696,J,17
NE1306,4,J19,-,putative glutamyl aminopeptidase,SAUSA300_1261,J,19
NE1307,4,J21,-,beta-lactamase,SAUSA300_2386,J,21
NE1308,4,J23,ureD,urease accessory protein UreD,SAUSA300_2244,J,23
NE1309,4,L1,srrA,"respiratory response protein, SrrA",SAUSA300_1442,L,1
NE1310,4,L3,-,hypothetical protein,SAUSA300_1942,L,3
NE1311,4,L5,-,hypothetical protein,SAUSA300_0174,L,5
NE1312,4,L7,-,hypothetical protein,SAUSA300_0422,L,7
NE1313,4,L9,-,putative cell division protein FtsH,SAUSA300_0489,L,9
NE1314,4,L11,oppC,oligopeptide ABC transporter permease,SAUSA300_0896,L,11
NE1315,4,L13,-,adaptor protein,SAUSA300_0899,L,13
NE1316,4,L15,phoU,phosphate transport system regulatory protein PhoU,SAUSA300_1279,L,15
NE1317,4,L17,-,hypothetical protein,SAUSA300_1488,L,17
NE1318,4,L19,ribH,"6,7-dimethyl-8-ribityllumazine synthase",SAUSA300_1712,L,19
NE1319,4,L21,-,hypothetical protein,SAUSA300_1740,L,21
NE1320,4,L23,-,exonuclease,SAUSA300_1875,L,23
NE1321,4,N1,rimI,ribosomal-protein-alanine acetyltransferase,SAUSA300_2003,N,1
NE1322,4,N3,-,hypothetical protein,SAUSA300_2042,N,3
NE1323,4,N5,arsR,ArsR family transcriptional regulator,SAUSA300_2098,N,5
NE1324,4,N7,-,"transposase, truncation",SAUSA300_2305,N,7
NE1325,4,N9,-,putative GTP-binding protein,SAUSA300_1198,N,9
NE1326,4,N11,-,"IS1272, transposase",SAUSA300_0034,N,11
NE1327,4,N13,-,hypothetical protein,SAUSA300_0393,N,13
NE1328,4,N15,-,hypothetical protein,SAUSA300_0442,N,15
NE1329,4,N17,-,hypothetical protein,SAUSA300_0793,N,17
NE1330,4,N19,-,hypothetical protein,SAUSA300_1238,N,19
NE1331,4,N21,ndk,nucleoside diphosphate kinase,SAUSA300_1358,N,21
NE1332,4,N23,tpx,thiol peroxidase,SAUSA300_1659,N,23
NE1333,4,P1,hrcA,heat-inducible transcription repressor HrcA,SAUSA300_1542,P,1
NE1334,4,P3,-,hypothetical protein,SAUSA300_1494,P,3
NE1335,4,P5,-,acetyltransferase,SAUSA300_2505,P,5
NE1336,4,P7,-,phi77 ORF029-like protein,SAUSA300_1935,P,7
NE1337,4,P9,-,hypothetical protein,SAUSA300_1023,P,9
NE1338,4,P11,-,phiPV083 ORF027-like protein,SAUSA300_1952,P,11
NE1339,4,P13,-,TatD family hydrolase,SAUSA300_0468,P,13
NE1340,4,P15,-,hypothetical protein,SAUSA300_1692,P,15
NE1341,4,P17,-,hypothetical protein,SAUSA300_0300,P,17
NE1342,4,P19,smc,chromosome segregation protein SMC,SAUSA300_1127,P,19
NE1343,4,P21,gap,glyceraldehyde 3-phosphate dehydrogenase 2,SAUSA300_1633,P,21
NE1344,4,P23,recG,ATP-dependent DNA helicase RecG,SAUSA300_1120,P,23
NE1345,4,A2,menD,"inyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarbo",SAUSA300_0946,A,2
NE1346,4,A4,-,hypothetical protein,SAUSA300_1461,A,4
NE1347,4,A6,-,hypothetical protein,SAUSA300_1862,A,6
NE1348,4,A8,-,phi77 ORF069-like protein,SAUSA300_1948,A,8
NE1349,4,A10,,conserved hypothetical protein,SAUSA300_1372,A,10
NE1350,4,A12,,conserved hypothetical protein,SAUSA300_2314,A,12
NE1351,4,A14,,conserved hypothetical protein,SAUSA300_1846,A,14
NE1352,4,A16,,nitrite reductase transcriptional regulator   NirR,SAUSA300_2347,A,16
NE1353,4,A18,,N-acetylmuramoyl-L-alanine amidase domainprotein,SAUSA300_2579,A,18
NE1354,4,A20,,alpha-hemolysin precursor,SAUSA300_1058,A,20
NE1355,4,A22,,"molybdenum ABC transporter, molybdenum-binding protein ModA",SAUSA300_2230,A,22
NE1356,4,A24,,putative urea transporter,SAUSA300_2237,A,24
NE1357,4,C2,-,hypothetical protein,SAUSA300_1337,C,2
NE1358,4,C4,,conserved hypothetical protein,SAUSA300_0603,C,4
NE1359,4,C6,,conserved hypothetical protein,SAUSA300_1665,C,6
NE1360,4,C8,fmtC,oxacillin resistance-related FmtC protein,SAUSA300_1255,C,8
NE1361,4,C10,,conserved hypothetical protein,SAUSA300_1224,C,10
NE1362,4,C12,,conserved hypothetical protein,SAUSA300_0998,C,12
NE1363,4,C14,srtB,sortase B,SAUSA300_1034,C,14
NE1364,4,C16,,conserved hypothetical protein,SAUSA300_2095,C,16
NE1365,4,C18,,"oxidoreductase, 2-nitropropane dioxygenase family",SAUSA300_0825,C,18
NE1366,4,C20,,catalase,SAUSA300_1232,C,20
NE1367,4,C22,,"transcriptional regulator, GntR family",SAUSA300_0137,C,22
NE1368,4,C24,,ribosomal protein L11 methyltransferase,SAUSA300_1538,C,24
NE1369,4,E2,,N-acetylmuramoyl-L-alanine amidase,SAUSA300_1588,E,2
NE1370,4,E4,,conserved hypothetical protein,SAUSA300_0728,E,4
NE1371,4,E6,,conserved hypothetical phage protein,SAUSA300_1967,E,6
NE1372,4,E8,-,hypothetical protein,SAUSA300_0384,E,8
NE1373,4,E10,,putative homoserine O-acetyltransferase,SAUSA300_0012,E,10
NE1374,4,E12,,teichoic acid biosynthesis protein B,SAUSA300_0626,E,12
NE1375,4,E14,,conserved hypothetical protein,SAUSA300_1012,E,14
NE1376,4,E16,cobI,"transporter, CorA family",SAUSA300_2323,E,16
NE1377,4,E18,,conserved hypothetical protein,SAUSA300_2511,E,18
NE1378,4,E20,,"oligopeptide ABC transporter, oligopeptide-binding protein",SAUSA300_0892,E,20
NE1379,4,E22,,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,SAUSA300_1596,E,22
NE1380,4,E24,,"ABC transporter, ATP-binding protein",SAUSA300_0978,E,24
NE1381,4,G2,mqo,malate:quinone-oxidoreductase,SAUSA300_2541,G,2
NE1382,4,G4,,alcohol dehydrogenase,SAUSA300_0594,G,4
NE1383,4,G6,,GTP cyclohydrolase I,SAUSA300_0713,G,6
NE1384,4,G8,-,hypothetical protein,SAUSA300_0957,G,8
NE1385,4,G10,,conserved hypothetical protein,SAUSA300_0287,G,10
NE1386,4,G12,,Leukocidin/Hemolysin toxin family protein,SAUSA300_1974,G,12
NE1387,4,G14,,"peptidase, M20/M25/M40 family",SAUSA300_2276,G,14
NE1388,4,G16,,glycerol-3-phosphate transporter,SAUSA300_0337,G,16
NE1389,4,G18,,aspartate kinase,SAUSA300_1225,G,18
NE1390,4,G20,,5'(3')-deoxyribonucleotidase,SAUSA300_0709,G,20
NE1391,4,G22,,"2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase",SAUSA300_1305,G,22
NE1392,4,G24,,"phosphate starvation-induced protein, PhoH family",SAUSA300_1531,G,24
NE1393,4,I2,-,TetR family regulatory protein,SAUSA300_2490,I,2
NE1394,4,I4,-,Gfo/Idh/MocA family oxidoreductase,SAUSA300_0213,I,4
NE1395,4,I6,,"phiPVL ORF057-like protein, transcriptionalactivator RinB",SAUSA300_1946,I,6
NE1396,4,I8,ccrA,cassette chromosome recombinase A,SAUSA300_0038,I,8
NE1397,4,I10,alsS,alpha-acetolactate synthase,SAUSA300_2166,I,10
NE1398,4,I12,,conserved hypothetical protein,SAUSA300_1084,I,12
NE1399,4,I14,hlgA,gamma-hemolysin component A,SAUSA300_2365,I,14
NE1400,4,I16,,putative drug transporter,SAUSA300_2389,I,16
NE1401,4,I18,,conserved hypothetical protein,SAUSA300_1853,I,18
NE1402,4,I20,-,hypothetical protein,SAUSA300_0590,I,20
NE1403,4,I22,,conserved hypothetical protein,SAUSA300_1585,I,22
NE1404,4,I24,mreC,rod shape-determining protein MreC,SAUSA300_1605,I,24
NE1405,4,K2,glcU,"probable glucose uptake protein""",SAUSA300_2210,K,2
NE1406,4,K4,,conserved hypothetical protein,SAUSA300_0409,K,4
NE1407,4,K6,pyk,pyruvate kinase,SAUSA300_1644,K,6
NE1408,4,K8,,"phiSLT ORF 87-like protein, putative DNA-binding  protein",SAUSA300_1430,K,8
NE1409,4,K10,,exotoxin,SAUSA300_0407,K,10
NE1410,4,K12,,UDP-N-acetylglucosamine 2-epimerase,SAUSA300_2065,K,12
NE1411,4,K14,mscL,large conductance mechanosensitive channel protein,SAUSA300_1244,K,14
NE1412,4,K16,,"transcriptional regulator, DeoR family",SAUSA300_0683,K,16
NE1413,4,K18,,conserved hypothetical protein,SAUSA300_1180,K,18
NE1414,4,K20,udk,uridine kinase,SAUSA300_1568,K,20
NE1415,4,K22,glcT,transcription antiterminator,SAUSA300_1253,K,22
NE1416,4,K24,,"alcohol dehydrogenase, zinc-containing",SAUSA300_2147,K,24
NE1417,4,M2,-,hypothetical protein,SAUSA300_0940,M,2
NE1418,4,M4,,2-oxoglutarate/malate translocator,SAUSA300_2627,M,4
NE1419,4,M6,,putative nucleoside transporter,SAUSA300_0631,M,6
NE1420,4,M8,,conserved hypothetical protein,SAUSA300_1003,M,8
NE1421,4,M10,,"PTS system, fructose-specific enzyme II, BC component",SAUSA300_0239,M,10
NE1422,4,M12,,phosphoglycerate mutase family protein,SAUSA300_0783,M,12
NE1423,4,M14,epiD,lantibiotic epidermin biosynthesis protein EpiD,SAUSA300_1764,M,14
NE1424,4,M16,,conserved hypothetical protein,SAUSA300_2069,M,16
NE1425,4,M18,,conserved hypothetical protein,SAUSA300_0169,M,18
NE1426,4,M20,ltrA,low temperature requirement protein LtrA,SAUSA300_0354,M,20
NE1427,4,M22,,"helicase, RecD/TraA family",SAUSA300_1576,M,22
NE1428,4,M24,thiD,phosphomethylpyrimidine kinase,SAUSA300_2049,M,24
NE1429,4,O2,,conserved hypothetical protein,SAUSA300_2475,O,2
NE1430,4,O4,,conserved hypothetical protein,SAUSA300_0356,O,4
NE1431,4,O6,,conserved hypothetical protein,SAUSA300_0580,O,6
NE1432,4,O8,,transposase,SAUSA300_0267,O,8
NE1433,4,O10,,conserved hypothetical protein,SAUSA300_0317,O,10
NE1434,4,O12,cyoE,protoheme IX farnesyltransferase,SAUSA300_1016,O,12
NE1435,4,O14,,putative amino acid permease,SAUSA300_2265,O,14
NE1436,4,O16,oppC,"oligopeptide ABC transporter, permease protein",SAUSA300_0888,O,16
NE1437,4,O18,,conserved hypothetical protein,SAUSA300_2353,O,18
NE1438,4,O20,,holin-like protein lrgA,SAUSA300_0256,O,20
NE1439,4,O22,malR,maltose operon transcriptional repressor,SAUSA300_1457,O,22
